x,y,color
144.4751089,101.450265,0
370.6833121,298.0034148,2
253.714046,234.0794021,1
148.6991654,78.65400574,0
192.1579726,252.837304,1
367.835098,245.51961,2
165.1168979,242.6645597,1
171.6693335,264.1530259,1
240.6783974,216.5946743,1
149.7829212,102.6029129,0
286.6591808,136.4291329,1
396.4975548,202.3054656,2
180.5449202,79.15870884,0
370.2469393,260.9772217,2
143.0931425,84.36056901,0
321.1278035,283.6979177,2
222.8443473,257.4018257,1
124.9756924,162.7215855,0
394.7833057,220.3988597,2
87.20686487,180.4013073,0
223.2817369,277.9663651,1
71.17617433,210.1985053,0
387.114056,247.9007542,2
179.360569,220.1036341,1
416.0286244,237.2089504,2
135.821167,150.1591569,0
367.9462773,299.1963567,2
393.8198622,324.451375,2
377.0610039,270.4130582,2
168.3973309,158.852798,0
236.1064818,169.0719658,1
334.2563336,142.4207339,1
154.6123786,138.6468833,0
125.3077804,77.60426719,0
243.4068771,166.6431449,1
293.4391987,139.5235227,1
111.6656522,153.482112,0
187.1572907,239.1278666,1
172.1905736,47.5653668,0
243.3989718,153.8744399,1
260.17969,218.5744629,1
218.5933682,220.1336463,1
289.9278319,148.0551261,1
297.7404634,123.7491433,1
164.2413096,90.01888044,0
200.3743912,44.02619917,0
158.4900616,99.1428735,0
161.4245291,36.55489714,0
175.2687246,40.00566118,0
276.7689896,168.6567705,1
175.1410252,78.79666395,0
141.4381279,104.9899455,0
161.3086921,116.7811307,0
251.5105024,160.5384036,1
287.2696729,297.4898819,2
92.99153816,115.1352518,0
115.8097314,101.3418641,0
111.7815278,141.0849624,0
233.5784136,247.9339905,1
415.2662643,260.5824859,2
81.1789422,148.4345413,0
343.7765405,351.7954559,2
101.6836272,116.1974202,0
249.4856773,259.8633741,1
287.6586803,159.9933465,1
198.5148883,114.0578107,0
309.9731724,353.682713,2
250.0314571,182.5738441,1
184.0314224,106.5299843,0
410.6735473,250.7731532,2
219.8030954,290.9219786,1
274.2984752,139.1832623,1
166.1885215,69.78260607,0
206.0825764,261.9894441,1
136.8427106,157.2203724,0
85.81004632,137.7664704,0
314.9183755,172.6006099,1
291.9809693,199.2100548,1
252.2897853,294.8033723,1
299.943584,137.954478,1
272.2675904,160.5058227,1
213.5139257,279.8914192,1
237.2267567,236.9846534,1
258.5338,369.2097101,2
177.7610334,117.0188399,0
286.1500001,137.7325305,1
307.8489491,163.8532038,1
115.2803424,183.1303532,0
362.7621407,281.1164886,2
345.8128456,273.243424,2
138.4958314,98.07909589,0
336.3464355,292.1838655,2
338.8267611,292.9013033,2
129.5614268,161.853493,0
128.5344127,130.5819687,0
411.9636918,192.4253484,2
394.6478267,261.6701912,2
245.123546,196.1186271,1
314.1009329,289.7417429,2
316.4674457,149.8049738,1
114.2097136,107.2951261,0
326.241618,364.3327177,2
185.633967,257.6456782,1
316.3936354,144.9264233,1
257.2003702,205.174598,1
218.0960024,75.91107674,0
270.1784404,173.8327403,1
152.7297271,129.0680403,0
393.7436062,219.3299506,2
375.899617,265.2058963,2
297.0441895,166.5262913,1
111.5757682,171.2661299,0
275.6979849,142.3765791,1
73.50405794,153.3618862,0
309.8134073,150.3984507,1
178.9712839,102.1250416,0
210.0459413,235.6284414,1
90.18573547,129.1841079,0
229.516481,259.412916,1
152.567739,110.593777,0
238.9883805,145.6488275,1
125.2012726,112.8520338,0
135.8516447,123.7896464,0
319.5803991,131.0658696,1
382.0386363,240.2559322,2
130.1891632,113.5615169,0
228.5218207,230.4678322,1
211.7722486,200.9416264,1
284.2224367,301.8621853,2
157.4835828,121.733793,0
121.4664258,154.3358409,0
181.3187572,93.02191907,0
209.1908019,85.34610839,0
141.1814605,60.69359661,0
242.1152169,174.0768962,1
316.6429535,202.6098735,1
98.94281413,165.6570209,0
405.3368433,302.7185954,2
228.1260366,93.01738746,0
231.7741876,70.0732906,0
202.5082384,58.24104382,0
363.9236462,276.9783239,2
278.9807992,185.0572886,1
102.5753312,194.1322838,0
360.2622594,294.0985401,2
203.4701382,49.29175879,0
399.397294,254.0369542,2
393.7164619,310.5972282,2
337.81559,260.5216817,2
306.3749523,314.0900163,2
384.6182539,170.4165685,2
287.704226,360.244932,2
205.1721309,198.445315,1
221.8169191,63.60407777,0
289.5975729,171.1482533,1
192.5109165,185.1581588,1
275.2192428,175.383948,1
201.3178638,176.070816,1
309.5843656,141.2181508,1
280.7929087,274.5114976,1
83.46359428,178.6183311,0
195.6005242,250.652382,1
150.9855887,251.8848554,1
157.3281478,101.7793446,0
153.4738551,118.3086331,0
127.7014801,125.0336859,0
316.1367675,310.4190413,2
197.3160454,83.78647242,0
407.5452131,278.6234207,2
443.8819875,202.6272136,2
109.0212435,180.2643475,0
430.6928953,277.0187199,2
246.9714924,177.3600809,1
392.7127627,192.3326308,2
